# ModuleActionPlatformSupport.generated.tsv
# Generated from ClosedSource/DSX/Modules/**/dsx.json `actions[].platforms` by prepare_modules_android.rb.
# Support facts only: this file does not load or promise any package implementation.
# scheme.action<TAB>comma-separated concrete implementation platforms
watch.record	ios,android
watch.recordcancel	ios,android
watch.recordstop	ios,android
watch.render	ios,android
watch.route	ios,android
watch.status	ios,android
watch.transfer	ios,android
watch.transferclear	ios,android
watch.transferlist	ios,android
watch.update	ios,android
watchhealth.heartrate	ios,android
watchhealth.read	ios,android
watchhealth.steps	ios,android
watchhealth.workout	ios,android
widget.layout	ios,android
widget.set	ios,android
writehealthkit.observe	ios,android
writehealthkit.unobserve	ios,android
writehealthkit.workouts	ios,android
